t,rain_inches,station
2026-07-25 08:53:00+00:00,0.0,KFBG
2026-07-25 08:55:00+00:00,0.0196850393700787,KFBG
2026-07-25 09:05:00+00:00,0.0,KFBG
2026-07-25 09:10:00+00:00,0.0,KFBG
2026-07-25 09:15:00+00:00,0.0,KFBG
2026-07-25 09:25:00+00:00,0.0,KFBG
2026-07-25 09:29:00+00:00,0.0,KFBG
2026-07-25 09:34:00+00:00,0.0,KFBG
2026-07-25 09:35:00+00:00,0.0,KFBG
2026-07-25 09:45:00+00:00,0.0,KFBG
2026-07-25 09:50:00+00:00,0.0,KFBG
2026-07-25 09:55:00+00:00,0.9488188976377954,KFBG
2026-07-25 10:00:00+00:00,0.0,KFBG
2026-07-25 10:06:00+00:00,0.0,KFBG
2026-07-25 10:15:00+00:00,0.0,KACZ
2026-07-25 10:16:00+00:00,0.0,KFBG
2026-07-25 10:21:00+00:00,0.0,KFBG
2026-07-25 10:23:00+00:00,0.0,KFBG
2026-07-25 10:26:00+00:00,0.0,KFBG
2026-07-25 10:29:00+00:00,0.0,KFBG
2026-07-25 10:35:00+00:00,0.0,KFBG
2026-07-25 10:45:00+00:00,0.0,KFBG
2026-07-25 10:55:00+00:00,0.2795275590551181,KFBG
2026-07-25 10:56:00+00:00,0.0,KFBG
2026-07-25 10:59:00+00:00,0.0,KFBG
2026-07-25 11:09:00+00:00,0.0,KFBG
2026-07-25 11:15:00+00:00,0.0118110236220472,KACZ
2026-07-25 11:17:00+00:00,0.0,KFBG
2026-07-25 11:19:00+00:00,0.0,KFBG
2026-07-25 11:25:00+00:00,0.0,KFBG
2026-07-25 11:35:00+00:00,0.0,KFBG
2026-07-25 11:44:00+00:00,0.0,KFBG
2026-07-25 11:49:00+00:00,0.0,KFBG
2026-07-25 11:55:00+00:00,0.4015748031496063,KFBG
2026-07-25 12:15:00+00:00,0.0,KACZ
2026-07-25 12:18:00+00:00,0.0,KFBG
2026-07-25 12:21:00+00:00,0.0,KFBG
2026-07-25 12:24:00+00:00,0.0,KFBG
2026-07-25 12:29:00+00:00,0.0,KFBG
2026-07-25 12:34:00+00:00,0.0,KFBG
2026-07-25 12:35:00+00:00,0.0,KACZ
2026-07-25 12:37:00+00:00,0.0,KFBG
2026-07-25 12:39:00+00:00,0.0,KFBG
2026-07-25 12:55:00+00:00,0.0393700787401574,KFBG
2026-07-25 13:05:00+00:00,0.0,KFBG
2026-07-25 13:15:00+00:00,0.0,KACZ
2026-07-25 13:20:00+00:00,0.0,KFBG
2026-07-25 13:26:00+00:00,0.0,KFBG
2026-07-25 13:31:00+00:00,0.0,KFBG
2026-07-25 13:35:00+00:00,0.0,KACZ
2026-07-25 13:36:00+00:00,0.0,KFBG
2026-07-25 13:41:00+00:00,0.0,KFBG
2026-07-25 13:46:00+00:00,0.0,KFBG
2026-07-25 13:55:00+00:00,0.7401574803149606,KFBG
2026-07-25 14:01:00+00:00,0.0,KFBG
2026-07-25 14:06:00+00:00,0.0,KFBG
2026-07-25 14:15:00+00:00,0.0,KACZ
2026-07-25 14:16:00+00:00,0.0,KFBG
2026-07-25 14:26:00+00:00,0.0,KFBG
2026-07-25 14:35:00+00:00,0.0118110236220472,KACZ
2026-07-25 14:36:00+00:00,0.0,KFBG
2026-07-25 14:55:00+00:00,0.1692913385826771,KFBG
2026-07-25 15:00:00+00:00,0.0,KFBG
2026-07-25 15:01:00+00:00,0.0,KFBG
2026-07-25 15:06:00+00:00,0.0,KFBG
2026-07-25 15:07:00+00:00,0.0,KFBG
2026-07-25 15:15:00+00:00,0.0118110236220472,KACZ
2026-07-25 15:35:00+00:00,0.0118110236220472,KACZ
2026-07-25 15:39:00+00:00,0.0,KFBG
2026-07-25 15:54:00+00:00,0.0,KFBG
2026-07-25 15:55:00+00:00,0.0196850393700787,KFBG
2026-07-25 16:15:00+00:00,0.0196850393700787,KACZ
2026-07-25 16:35:00+00:00,0.421259842519685,KACZ
2026-07-25 16:40:00+00:00,0.0,KFBG
2026-07-25 16:55:00+00:00,0.0,KFBG
2026-07-25 17:15:00+00:00,0.0118110236220472,KACZ
2026-07-25 17:35:00+00:00,0.0393700787401574,KACZ
2026-07-25 17:55:00+00:00,0.0,KFBG
2026-07-25 18:35:00+00:00,0.0393700787401574,KACZ
2026-07-25 18:43:00+00:00,0.0,KFBG
2026-07-25 18:55:00+00:00,0.0,KFBG
2026-07-25 19:15:00+00:00,0.0,KACZ
2026-07-25 19:20:00+00:00,0.0,KFBG
2026-07-25 19:35:00+00:00,0.0118110236220472,KACZ
2026-07-25 19:55:00+00:00,0.0,KFBG
